"","Country","City","wgt","patience","risktaking","posrecip","negrecip","altruism","trust","subj_math_skills","Location","lon","lat","type","loctype","address","north","south","east","west"
"1","Afghanistan","Badghis",1.27623841926894,-0.44542291085,-0.2303958484,0.319161696133,0.0199890830769231,0.415124560925,0.00231736424999999,3.5,"Badghis, Afghanistan",63.7695384,35.1671339,"administrative_area_level_1","approximate","badghis, afghanistan",36.041935,34.516596,65.0705769,62.673593
"2","Afghanistan","Baghlan",0.743896473956697,-0.4273357754,0.033036130975,0.63104519225,0.63643761789,0.4792126775,0.239346464,4.1,"Baghlan, Afghanistan",69.2877535,35.8042947,"administrative_area_level_1","approximate","baghlan, afghanistan",36.568706,35.003241,69.9682439,68.0068229
"3","Afghanistan","Balkh",0.774319791506685,-0.256164063833333,0.293016412992034,0.603405876166667,0.62820693419,0.520262575433333,0.202880455333333,3.66666666666667,"Balkh, Afghanistan",66.8975372,36.7550603,"locality","approximate","balkh, afghanistan",36.7744019,36.739847,66.9103004,66.879015
"4","Afghanistan","Farah",0.971656353657543,-0.1679231616,0.5433437245,0.608720903,1.38713480176842,0.359990911,0.567540615,5.1,"Farah, Afghanistan",62.1454133,32.4464635,"locality","approximate","farah, afghanistan",32.5514434,32.3077371,62.3034669,61.9889832
"5","Afghanistan","Faryab",1.27868152837034,-0.372240768775,0.009339698975,0.442271767,-0.11386454539,0.25738320625,0.333316592051282,3.75,"Faryab, Afghanistan",64.905955,36.0795613,"administrative_area_level_1","approximate","faryab, afghanistan",37.2501681,35.1631961,65.822068,63.8947181
"6","Afghanistan","Ghazni",1.14569797588965,0.178087790979592,0.5270108699102,-0.3996602942,0.28383327818,-0.01756610928,-0.381368542391304,4.3,"Ghazni, Afghanistan",68.4173972,33.5450587,"locality","approximate","ghazni, afghanistan",33.5654995,33.5313079,68.4493732,68.3921098
"7","Afghanistan","Helmand",1.2128182926849,-0.2763434146125,-0.0386435326625,-0.123676416042,-0.217357397853165,-0.016854374075,0.129948421388889,3.2125,"Helmand, Afghanistan",63.9586111,31.3636474,"administrative_area_level_1","approximate","helmand, afghanistan",33.3782999,29.377478,65.3802629,62.553695
"8","Afghanistan","Herat",0.99322581220518,-0.321139418785714,0.00182235043585715,0.323490998285714,0.342236672837143,0.217260705128571,0.384394134179104,4.71428571428571,"Herat, Afghanistan",62.2040287,34.352865,"locality","approximate","herat, afghanistan",34.3883543,34.3185577,62.2713661,62.150774
"9","Afghanistan","Kabul",0.757716504634717,-0.262722568242857,0.286827121982214,0.448338335328286,0.603739031241727,0.147411071962857,0.300966049927007,4.45714285714286,"Kabul, Afghanistan",69.207486,34.5553494,"locality","approximate","kabul, afghanistan",34.7619227,34.3454912,69.4459534,68.9495086
"10","Afghanistan","Kandahar",0.716023113502281,-0.229045192254237,0.0767426166101695,0.0674941986773333,-0.314197306217544,-0.135403043116667,0.566911892241379,6.08333333333333,"Kandahar, Afghanistan",65.7371749,31.628871,"locality","approximate","kandahar, afghanistan",31.6725218,31.5973985,65.8307648,65.6695744
"11","Afghanistan","Khost",1.18127986988158,0.12819260235,0.07323982685,-0.220234202234,-0.27003257547,0.300222663,-0.088847676,3.4,"Khost, Afghanistan",69.9371673,33.3338472,"locality","approximate","khost, afghanistan",33.3512149,33.3239304,69.9688982,69.90062
"12","Afghanistan","Konar",0.848144722618633,-0.184864136275,-0.016464718375,0.137166287075,0.169403403289474,-0.1174014358,0.370717630512821,5.55,"Konar, Afghanistan",71.097317,34.8465893,"administrative_area_level_1","approximate","kunar, afghanistan",35.4849279,34.5307249,71.676727,70.5798661
"13","Afghanistan","Kunduz",1.23498247744026,-0.13398117575,0.142758424225,0.2413549565,0.18944296006,0.0637696595,0.43990955825,4.05,"Kunduz, Afghanistan",68.8680663,36.7285907,"locality","approximate","kunduz, afghanistan",36.7702117,36.6518943,68.9773179,68.7887478
"14","Afghanistan","Lowgar",1.05512257944523,0.0773407611794872,0.561449403666667,0.381963519383,1.01183327025641,0.23496122875,0.873663218157895,5.475,"Lowgar, Afghanistan",69.1923916,34.0145518,"administrative_area_level_1","approximate","logar, afghanistan",34.366983,33.602526,69.8876531,68.716335
"15","Afghanistan","Nangarhar",0.806764633606493,-0.164633520474576,0.116853423483333,0.577824021333333,0.315899839396491,-0.144652629383333,0.534593253684211,5.03333333333333,"Nangarhar, Afghanistan",70.6216794,34.1718313,"administrative_area_level_1","approximate","nangarhar, afghanistan",34.809976,33.9433401,71.1712571,69.482636
"16","Afghanistan","Paktika",1.2092722665646,-0.237444886825,0.45244054765,-0.254815627734,-0.0914634633333333,-0.096061119075,0.54019110625,5.225,"Paktika, Afghanistan",68.5247149,32.2645386,"administrative_area_level_1","approximate","paktika, afghanistan",33.4239659,31.593519,69.5345761,67.8221048
"17","Afghanistan","Parwan",1.39808655727057,-0.2837492944,0.31057051441275,0.61993821875,0.615462258125,0.34056984625,0.249164236153846,4.775,"Parwan, Afghanistan",68.8108849,34.9630977,"administrative_area_level_1","approximate","parwan, afghanistan",35.424221,34.588373,69.616604,68.1907899
"18","Afghanistan","Sar-e-Pol",1.16392464387574,-0.19762765145,0.16134601485,0.6250269705,0.263241269805,0.689238693375,0.193062676923077,3.725,"Sar-e-Pol, Afghanistan",65.93336,36.216628,"locality","approximate","sar-e pol, afghanistan",36.238389,36.1827099,65.9589957,65.9110165
